configuration,feature,mean_abs_shap,rank,abbreviation,family
learning_rate_low,shrub_frac_mean_2000_2025,6.01588135396014e-06,55,SHRm,Land cover
learning_rate_low,barren_frac_slope_2000_2025,2.872124014174915e-06,56,BARs,Land cover
learning_rate_low,shrub_frac_slope_2000_2025,5.82769246193493e-07,57,SHRs,Land cover
learning_rate_high,forest_frac_slope_2000_2025,0.0032772694248706102,1,FORs,Land cover
learning_rate_high,mndwi_mean_2000_2025,0.0013011734699830413,2,MNDWIm,Hydrology
learning_rate_high,mndwi_slope_2000_2025,0.0012593056308105588,3,MNDWIs,Hydrology
learning_rate_high,built_frac_slope_2000_2025,0.00118384906090796,4,BLTs,Land cover
learning_rate_high,forest_frac_mean_2000_2025,0.001146256341598928,5,FORm,Land cover
learning_rate_high,cropland_frac_slope_2000_2025,0.0008998053963296115,6,CRPs,Land cover
learning_rate_high,slope_mean,0.0007464083610102534,7,SLOPE,Terrain
learning_rate_high,cropland_frac_mean_2000_2025,0.0007310034125111997,8,CRPm,Land cover
learning_rate_high,terrain_northness_mean,0.0006321761175058782,9,NORTH,Terrain
learning_rate_high,ssrd_wm2_slope_2000_2025,0.0004855296283494681,10,SRADs,Climate
learning_rate_high,grass_frac_slope_2000_2025,0.00045866260188631713,11,GRSs,Land cover
learning_rate_high,pdsi_slope_2000_2025,0.00044645683374255896,12,PDSIs,Hydrology
learning_rate_high,elevation_mean,0.0003816971438936889,13,ELEV,Terrain
learning_rate_high,terrain_tpi_5km,0.0003453849349170923,14,TPI5,Terrain
learning_rate_high,hydro_hand_m,0.0003279514785390347,15,HAND,Hydrology
learning_rate_high,ntl_viirs_slope_2014_2025,0.00028790030046366155,16,NTLs,Human activity
learning_rate_high,mkde3k,0.0002799473295453936,17,MKDE3,Human activity
learning_rate_high,soil_water_top_slope_2000_2025,0.00027366765425540507,18,SWTs,Hydrology
learning_rate_high,pop_log_density_2000,0.0002735392190515995,19,POP,Human activity
learning_rate_high,road_dist_km,0.00026472817989997566,20,RDIST,Human activity
learning_rate_high,terrain_eastness_mean,0.0002635764249134809,21,EAST,Terrain
learning_rate_high,ntl_viirs_mean_2014_2025,0.00025330152129754424,22,NTLm,Human activity
learning_rate_high,built_frac_mean_2000_2025,0.0002509568294044584,23,BLTm,Land cover
learning_rate_high,soil_water_rootzone_slope_2000_2025,0.00025050409021787345,24,SWRs,Hydrology
learning_rate_high,hydro_log_upstream_area,0.0002350789145566523,25,UPA,Hydrology
learning_rate_high,pdsi_mean_2000_2025,0.00022526631073560566,26,PDSIm,Hydrology
learning_rate_high,prcp_mm_slope_2000_2025,0.0002224229247076437,27,PRCPs,Climate
learning_rate_high,prcp_mm_mean_2000_2025,0.0002176659181714058,28,PRCPm,Climate
learning_rate_high,hydro_twi_proxy,0.0002157593407901004,29,TWI,Hydrology
learning_rate_high,mdist_km,0.00021494475367944688,30,MDIST,Human activity
learning_rate_high,aet_mm_slope_2000_2025,0.0002148620260413736,31,AETs,Climate
learning_rate_high,terrain_tpi_1km,0.00020258281438145787,32,TPI1,Terrain
learning_rate_high,runoff_mm_mean_2000_2025,0.0001718031126074493,33,RUNm,Hydrology
learning_rate_high,aet_mm_mean_2000_2025,0.0001687904732534662,34,AETm,Climate
