elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change,ROI5_full_weight
"[200.0, 500.0)","[-1000000000.0, 5.0)",water,13,4,False,0.5483239813017842,0.4972294511660849,-0.051094530135699194,0.5440272990032878,0.4996801105725562,-0.044347188430731654,0.00033959405449178443
"[200.0, 500.0)","[15.0, 25.0)",built,2,3,False,0.6340428306882679,0.010557361206550325,-0.6234854694817176,0.630955067545362,0.05611787544901203,-0.5748371920963499,5.2245239152582224e-05
"[200.0, 500.0)","[15.0, 25.0)",cropland,8,14,False,0.45744218270111203,0.22494182409529012,-0.23250035860582197,0.40412354334221856,0.2310186181548635,-0.17310492518735512,0.0002089809566103289
"[200.0, 500.0)","[15.0, 25.0)",forest,13269,26178,True,0.6500261194810947,0.7942176494200414,0.14419152993894674,0.6577548189356638,0.7944226145553721,0.1366677956197084,0.34662103915780673
"[200.0, 500.0)","[25.0, 1000000000.0)",forest,315,753,True,0.7217910316120374,0.8336418068528001,0.11185077524076284,0.7212734032694431,0.8131102178138747,0.09183681454443153,0.0082286251665317
"[200.0, 500.0)","[5.0, 15.0)",built,93,83,True,0.23989509700117193,0.055680976608480474,-0.18421412039269144,0.19493828043891503,0.08789665075802952,-0.10704162968088551,0.0024294036205950733
"[200.0, 500.0)","[5.0, 15.0)",cropland,2119,3211,True,0.2788952522979786,0.2766186991455027,-0.0022765531524758546,0.27606345767378665,0.2800298047830022,0.003966347109215647,0.055353830882160865
"[200.0, 500.0)","[5.0, 15.0)",forest,11875,16370,True,0.4630785668805942,0.6383796125268016,0.17530104564620735,0.470932702913092,0.6254799875420254,0.15454728462893325,0.31020610746845695
"[200.0, 500.0)","[5.0, 15.0)",other_cover_combined,3,0,False,0.0,0.0,0.0,,,,7.836785872887333e-05
"[200.0, 500.0)","[5.0, 15.0)",water,11,47,False,0.5577781745294806,0.5628161994186536,0.005038024889173048,0.562058315505606,0.5456044991885883,-0.016453816317017745,0.00028734881533920223
"[500.0, 1000.0)","[15.0, 25.0)",cropland,3,2,False,0.2940711742703287,0.25451685199932694,-0.0395543222710018,0.33490544332792954,0.16905299744747407,-0.16585244588045547,7.836785872887333e-05
"[500.0, 1000.0)","[15.0, 25.0)",forest,4271,11812,True,0.7268584410515205,0.8465255768042634,0.11966713575274308,0.7149115098723666,0.8443555395953448,0.12944402972297822,0.11156970821033933
"[500.0, 1000.0)","[15.0, 25.0)",other_cover_combined,0,1,False,,,,0.0,0.030138093619601975,0.030138093619601975,0.0
"[500.0, 1000.0)","[25.0, 1000000000.0)",forest,682,2279,True,0.7413624971834843,0.8279042717031766,0.0865417745196922,0.7263044334218003,0.8059656271429657,0.07966119372116526,0.017815626551030538
"[500.0, 1000.0)","[25.0, 1000000000.0)",other_cover_combined,0,1,False,,,,0.00029279967304965404,0.0189565377211666,0.018663738048116947,0.0
"[500.0, 1000.0)","[5.0, 15.0)",cropland,13,36,False,0.28183290782357984,0.288262647718081,0.006429739894501198,0.2839401320365803,0.2818335008497627,-0.0021066311868175236,0.00033959405449178443
"[500.0, 1000.0)","[5.0, 15.0)",forest,723,1491,True,0.6260974811058422,0.7817479945484088,0.1556505134425667,0.6052403576301466,0.7839422383276106,0.17870188069746398,0.01888665395365847
"[500.0, 1000.0)","[5.0, 15.0)",water,1,0,False,0.3607461514187215,0.358771559376008,-0.0019745920427134966,,,,2.6122619576291112e-05
