pair_number,feature_x,feature_y,x,y,predicted_recovery_trend,observed_support_count,interaction_rank,mean_abs_shap_interaction,background_rows,grid_size
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269216,-0.00524693401924186,0.01517331600189209,8,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388545,-0.00524693401924186,0.016203759238123894,10,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507873,-0.00524693401924186,0.01704045571386814,12,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.00012968934516272013,-0.00524693401924186,0.01830996386706829,105,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253488,-0.00524693401924186,0.020658452063798904,27,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134159,-0.00524693401924186,0.0209449864923954,10,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.001008389973201483,-0.00524693401924186,0.021779272705316544,11,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0013877497459895503,-0.00524693401924186,0.021987654268741608,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0017671095187776174,-0.00524693401924186,0.02204616740345955,3,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0021464692915656863,-0.00524693401924186,0.022179635241627693,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0025258290643537535,-0.00524693401924186,0.02234962210059166,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0029051888371418207,-0.00524693401924186,0.02266155369579792,2,3,0.0002420278615318,1200,41
