hotspot,quantile,regional_slope,hotspot_slope
Ganxian,0.1,0.004413925390690541,-0.00119309569709
Ganxian,0.11,0.005434485357254724,-1.1969462775596237e-05
Ganxian,0.12,0.006385891418904006,0.00047004727530286093
Ganxian,0.13,0.007215756997465996,0.0019714116351678894
Ganxian,0.14,0.007917667329311352,0.00341276568360624
Ganxian,0.15,0.0086625654250383,0.004411959555000049
Ganxian,0.16,0.009253519065678072,0.005205898173153362
Ganxian,0.17,0.00980351351201528,0.00610579499043516
Ganxian,0.18,0.010398186035454247,0.0069836208596825
Ganxian,0.19,0.010982048921286992,0.00770867364481088
Ganxian,0.2,0.01152512021362774,0.0084133008494973
Ganxian,0.21,0.012015066556632491,0.0090408286079764
Ganxian,0.22,0.012546443939208911,0.009611521288752476
Ganxian,0.23,0.01303258635103697,0.010110638197511412
Ganxian,0.24,0.013526928573846742,0.01081126183271402
Ganxian,0.25,0.0140005350112915,0.0112957949750125
Ganxian,0.26,0.01445909865200517,0.011732181161642019
Ganxian,0.27,0.014870869629085045,0.012208362855017134
Ganxian,0.28,0.015288659185171055,0.012845036387443479
Ganxian,0.29,0.01568219758570192,0.013232924137264455
Ganxian,0.3,0.01607667878270142,0.0137852542102336
Ganxian,0.31,0.016457490548491428,0.01427124291658395
Ganxian,0.32,0.01684702344238754,0.014746952615678221
Ganxian,0.33,0.017252454757690366,0.015218084584921542
Ganxian,0.34,0.0176500687003135,0.0155899813398718
Ganxian,0.35000000000000003,0.01801031529903406,0.016056336462497652
Ganxian,0.36,0.018371090218424785,0.016376048699021317
Ganxian,0.37,0.01875719562172885,0.01672418825328343
Ganxian,0.38,0.01911044053733342,0.017232031747698738
Ganxian,0.39,0.019437339678406676,0.0176706332713365
Ganxian,0.4,0.01976678408682346,0.0180569253861904
Ganxian,0.41000000000000003,0.020085541978478384,0.018516463972628055
Ganxian,0.42,0.02040912538766854,0.0189052417874336
Ganxian,0.43,0.020735789090394956,0.01924274340271945
Ganxian,0.44,0.021076405569910958,0.01952062658965582
Ganxian,0.45,0.021375764906406382,0.01988662686198945
Ganxian,0.46,0.021681724190711932,0.02019321843981738
Ganxian,0.47000000000000003,0.021980247274041093,0.020463996380567503
Ganxian,0.48,0.022290496677160192,0.02080451510846612
Ganxian,0.49,0.022591108530759758,0.021123243868350967
Ganxian,0.5,0.0228722691535949,0.0214196648448705
Ganxian,0.51,0.023154862895607895,0.02171604335308069
Ganxian,0.52,0.02343336336314675,0.021978063881397218
Ganxian,0.53,0.02371339857578274,0.02227960787713524
Ganxian,0.54,0.02399510607123373,0.022612173110246644
