sample_id,year,kndvi_mean,nbr_mean,ndmi_mean,bsi_mean,expected_eci_spectral,expected_regain_annual
cell_00003,2021,0.5360509528364096,0.6157455889491129,0.2977234894086409,-0.2499567468992059,0.7769353742760384,0.8622392563428828
cell_00003,2022,0.5284799895836849,0.6203836562633122,0.3070077109142705,-0.2550661212497374,0.7852944644805189,0.8866227400432866
cell_00003,2023,0.5480007344687506,0.6219917045606246,0.3060072649035886,-0.2620797813616387,0.8008710723650949,0.9320597379904512
cell_00003,2024,0.5461304485938238,0.6236521971927067,0.3130861064858121,-0.2658044594927939,0.8082199522662172,0.9534964361121194
cell_00003,2025,0.548517000721026,0.630846113912998,0.3221113958009905,-0.2722433663625091,0.8241621978511734,1.0
cell_00004,2000,0.5024487790152968,0.6023488963637705,0.2866543265314846,-0.2300636602777242,0.7300121259589131,0.9035426427748244
cell_00004,2001,0.4339963394986436,0.5388680238700956,0.2435155461552726,-0.1826958682190586,0.5952642997107707,0.5548013929826863
cell_00004,2002,0.4390323209442944,0.5421729665719617,0.2541096792136627,-0.1898883789333999,0.6120910679768774,0.5983508019674241
cell_00004,2003,0.3448249653119994,0.5002695708663312,0.2038610912735497,-0.1490727593409212,0.4746902923983225,0.2427434461245695
cell_00004,2004,0.3235502895747856,0.4825944327727327,0.1958459986612956,-0.134115132714644,0.4375706850140753,0.1466740798764124
cell_00004,2005,0.4491360053057318,0.5676844015888358,0.2646568751724023,-0.2106054897850778,0.6530940609073814,0.7044707698952875
cell_00004,2006,0.4140755692763436,0.5274457170528353,0.2276456371886789,-0.1716967028616124,0.5595269885468859,0.4623095516927751
cell_00004,2007,0.4245183365216254,0.5303633444205291,0.2411778822662643,-0.1807547599952093,0.5824016515660113,0.5215115350715146
cell_00004,2008,0.3461722190494735,0.4599226241667244,0.150568658867075,-0.0971762184859906,0.3808982568396823,0.0
cell_00004,2009,0.3458899322262386,0.455555284309085,0.182838842490306,-0.1192443032461676,0.415665445815743,0.0899810651708971
cell_00004,2010,0.3638788429030168,0.4667415706388637,0.173113169761071,-0.1159266331450012,0.4227189622772381,0.1082362920988725
cell_00004,2011,0.3895917335964631,0.5194174055126557,0.2332301749833311,-0.1827051036964703,0.5529332350643394,0.4452442386977448
cell_00004,2012,0.5528753980274226,0.5952369255168745,0.2919637220691658,-0.2448798363767767,0.7672816466120618,1.0
cell_00004,2013,0.5273151205169251,0.5998669217413879,0.3004563893863197,-0.2519247401103945,0.7665341866152894,0.998065496559744
cell_00004,2014,0.5072337479480509,0.5917750977126406,0.3048643871841096,-0.2494562505035621,0.7524648771334798,0.9616526748540856
cell_00004,2015,0.4957410628127879,0.5727198556250063,0.2948002711436878,-0.2398941193429679,0.7221094591275685,0.8830897272496511
cell_00004,2016,0.524873228992861,0.5812247667994522,0.2912863119438777,-0.2421173307615271,0.741823230345168,0.9341109971577932
cell_00004,2017,0.4854260915001124,0.5713171074977653,0.2918555424175424,-0.2351353574572895,0.7104354178151459,0.8528761062156311
cell_00004,2018,0.4963822299510376,0.5773503342972495,0.3023069721935651,-0.2414166991908174,0.7313125848311604,0.9069083642490662
cell_00004,2019,0.497287308879987,0.5739151426651861,0.2888995439015685,-0.2355196580361802,0.7165639924744653,0.8687374885150356
cell_00004,2020,0.4459418312029711,0.5367432393017687,0.2733856148636858,-0.2117233211908775,0.6409551449622406,0.673054005442002
cell_00004,2021,0.4939746116421276,0.5726603951149234,0.2952300157825491,-0.2395232722879313,0.7211618887684733,0.8806373175856295
cell_00004,2022,0.5036603069710608,0.5792582378417351,0.3015575980595028,-0.2466759090369719,0.7393571135986375,0.9277284330729778
cell_00004,2023,0.5013516771322796,0.5760486144098677,0.2920184247802989,-0.2368993011197697,0.7230833129812271,0.8856101613041073
cell_00004,2024,0.4991568472844279,0.5637098878702457,0.2835878715955713,-0.2298686527566991,0.7043981035266881,0.8372509151534212
cell_00004,2025,0.4788964668408599,0.5372251658754154,0.2613145468929342,-0.2084309035932416,0.6486083532564058,0.6928612965853239
cell_00005,2000,0.575531556281415,0.6644641983547415,0.3391926868629755,-0.2910954346251919,0.8822601379582223,0.7214015240276628
cell_00005,2001,0.5490289072805599,0.6542095691166514,0.3271442497023905,-0.2797300124915596,0.8459998590460194,0.6338328074823273
cell_00005,2002,0.5189111159151844,0.6643178676128777,0.3381528427513188,-0.27833003565335,0.8419158334937988,0.6239698696706175
cell_00005,2003,0.4435794818294161,0.6653745457268148,0.3495300359269897,-0.2820287670204415,0.8117161414276317,0.5510374942550326
cell_00005,2004,0.4077997693179031,0.599839665217185,0.2896311748132678,-0.2284573903697461,0.6778236363486561,0.2276865665582279
cell_00005,2005,0.5024592890841297,0.6001724149736105,0.2869490841531273,-0.2387042502502275,0.7347980970488548,0.3652801137964983
cell_00005,2006,0.5371775993417758,0.6726764845239137,0.3479517911977455,-0.2931191413311705,0.8733314315073119,0.6998386627432958
cell_00005,2007,0.5241845286818869,0.66727564144636,0.3558245688707531,-0.2973317545125341,0.8715397371344188,0.6955117137682028
