sample_id,regain_sen_slope_2000_2025,prcp_mm_mean_2000_2025,prcp_mm_slope_2000_2025,tmean_c_mean_2000_2025,tmean_c_slope_2000_2025,vpd_kpa_mean_2000_2025,vpd_kpa_slope_2000_2025,ssrd_wm2_mean_2000_2025,ssrd_wm2_slope_2000_2025,pet_mm_mean_2000_2025,pet_mm_slope_2000_2025,def_mm_mean_2000_2025,def_mm_slope_2000_2025,aet_mm_mean_2000_2025,aet_mm_slope_2000_2025,pdsi_mean_2000_2025,pdsi_slope_2000_2025,runoff_mm_mean_2000_2025,runoff_mm_slope_2000_2025,soil_water_rootzone_mean_2000_2025,soil_water_rootzone_slope_2000_2025,soil_water_top_mean_2000_2025,soil_water_top_slope_2000_2025,mndwi_mean_2000_2025,mndwi_slope_2000_2025,hydro_hand_m,hydro_log_upstream_area,hydro_stream_distance_km,hydro_twi_proxy,elevation_mean,slope_mean,terrain_northness_mean,terrain_eastness_mean,terrain_tpi_1km,terrain_tpi_5km,cropland_frac_mean_2000_2025,cropland_frac_slope_2000_2025,forest_frac_mean_2000_2025,forest_frac_slope_2000_2025,shrub_frac_mean_2000_2025,shrub_frac_slope_2000_2025,grass_frac_mean_2000_2025,grass_frac_slope_2000_2025,water_frac_mean_2000_2025,water_frac_slope_2000_2025,barren_frac_mean_2000_2025,barren_frac_slope_2000_2025,built_frac_mean_2000_2025,built_frac_slope_2000_2025,wetland_frac_mean_2000_2025,wetland_frac_slope_2000_2025,pop_log_density_2000,pop_log_change_2000_2020_per_year,ntl_viirs_mean_2014_2025,ntl_viirs_slope_2014_2025,road_dist_km,mdist_km,mcnt2k,mkde3k,mining_disturbance_intensity_2000_2025
cell_00252,0.0319316983222961,1470.5969895582932,-2.8154405381944443,19.122659022991478,0.0338304392496745,0.5566781759262085,0.0017379720229655,161.04705810546875,-0.093585081398487,1932.8931743915264,3.0008554103231813,479.5306419225839,5.135467279548319,931.1397423377404,0.079508338341347,-0.8657658696174622,0.0409794673323631,550.4421997070312,-2.594874382019043,0.3865394592285156,-1.5111682841961738e-05,0.3869366347789764,-0.0001955960615305,-0.4505538522874645,-0.0030767031802111,33.189700606383205,0.0944000112585881,20.0,-1.6977901716704082,273.08160719059924,15.996509659283031,0.4803545489617666,0.3413390169500672,-36.26052760471305,-75.06760445422925,0.0685958737370136,-0.0053036958750492,0.9314041278941138,0.0053036958750492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2648525215076136,0.0336969695841655,1.2388107590287816,5.180127788534527,0,0.0074667278908396,0.0
cell_00253,0.0165590792894363,1470.5969895582932,-2.8154405381944443,19.122659022991478,0.0338304392496745,0.5566781759262085,0.0017379720229655,161.04705810546875,-0.093585081398487,1932.8931743915264,3.0008554103231813,479.5306419225839,5.135467279548319,931.1397423377404,0.079508338341347,-0.8235199078157242,0.0421730583779674,550.4421997070312,-2.594874382019043,0.3865394592285156,-1.5111682841961738e-05,0.3869366347789764,-0.0001955960615305,-0.4427682320738607,-0.0013406752794035,14.623950878238464,0.1263751125978433,20.0,-0.0083525332169768,229.43037732966687,7.182993683984124,0.5421183192849058,0.1854460813630956,-32.251710387314255,-108.1612545670836,0.6578557472387699,-0.0017690671131555,0.3188750036907812,0.0016855033258568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232692503895144,8.35637872986862e-05,0,0,6.622121691644032,0.0196871344254901,0.292371497368868,0.0362677523396508,0.8469545329813242,4.6823344175008,0,0.0094037475238867,0.0
cell_00263,-0.0075797531753778,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7905300855636597,0.0435277037322521,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.435395925738522,-0.0038284122270251,104.62368379031533,0.0179789861720655,20.0,-2.465616401816817,346.3926776192718,20.356714961048823,-0.271883854192516,0.5282134036987742,7.757395605414746,21.010338075861338,0.0055655459747097,0.0011006379305603,0.9944344525373264,-0.0011006379305603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2477041648437811,0.0348231783124639,0.5869059733559865,0.574084066110556,1,0.0499846996430928,0.0
cell_00264,0.0017815326573327,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7905300855636597,0.0435277037322521,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4204565467866329,-0.0052245930793613,35.69607804550673,0.1236698362380756,20.0,-1.8677390387702344,341.4389210509572,21.8051045150617,-0.0977939261682094,0.265142385661286,-5.203948039946521,11.3539550998129,0.0333657951081945,0.0039074276666086,0.9666342022021738,-0.0039074276666086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2495833218767458,0.0336918012869619,1.048680051093086,0.9592206246359468,1,0.0557693795834368,0.0
cell_00269,0.0165135152637958,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7905300855636597,0.0435277037322521,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4754021604455909,0.0017901162167749,96.58549853429354,0.0157536651847666,20.0,-2.656455650531781,373.30407124681926,22.569056825310213,-0.4817046753281574,0.0571677812491625,17.02163307033242,21.830684440447666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2744347982015548,0.0476050675005388,1.5007634607052207,1.0582615647120197,4,0.0764048469015811,0.0
cell_00274,0.0244426727294921,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7461627721786499,0.0485655590891838,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4484050114274469,0.0014360094535558,142.70119947710572,0.0146043229590966,20.0,-2.862911013407245,391.678847523141,25.171321123255623,-0.3546517972827563,-0.1844594181615831,66.05755594190802,24.30926549151632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2792130842156701,0.038006454449703,1.797809230887061,1.7494941793529186,4,0.0622985559518133,0.0
cell_00278,0.0040510389953851,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7461627721786499,0.0485655590891838,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4170734169010816,0.0006975482486957,17.92863530077654,0.6972727712800504,16.721450835930856,0.1832082133416109,247.91981024088736,9.519853940272483,0.4345304436673433,-0.0641181423096843,-24.10281213691532,-116.30246736240576,0.3722515947454124,-0.004209368544399,0.5766828937616961,-0.0002854452488413,0.0,0.0,0.0004989541715492,0.0001064435487036,0.0,0.0,0.0,0.0,0.0505665579145856,0.0043883702350977,0,0,5.328959310111482,0.0289328077798301,0.3772445486373498,0.072204207588775,0.6862943146528753,3.6861378794542334,0,0.0337165980092347,0.0
cell_00279,0.0180787909775972,1589.4137254674968,-2.565775617550775,17.92988177994731,0.0333771527306476,0.4920566612137387,0.0015442742087007,160.33002429956773,-0.1042352475614742,1935.808805596021,2.526855035641268,401.5029489586492,2.5916579951814533,978.6545252950204,-0.0497238867290764,-0.7461627721786499,0.0485655590891838,616.1889669614718,-2.073829187492725,0.3959868101290147,3.0717719933159086e-05,0.3837863191226641,-0.0001950371875212,-0.4523593850004539,-0.0005852811956491,15.431225850652735,0.3896609852445142,18.61777150916784,-0.1845077860375342,249.40970131239595,10.18998804171889,-0.495729463851166,0.2369535366354354,-31.1236227814334,-117.578688057925,0.2861236279357498,0.000968780394084,0.7138763705159384,-0.000968780394084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.850772933975241,-0.0281732941611857,0.3430338513379377,0.0631543879583812,0.5722554290076066,4.179633131273218,0,0.0270627445174073,0.0
cell_00305,0.017492651939392,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7461627721786499,0.0485655590891838,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4492197149707009,0.0002543208974488,47.029928385875394,0.0664722928674308,20.0,-1.811022323370334,331.99737256295685,17.50078560108097,-0.0813158433411895,0.3251794134954403,6.122240210088491,-25.473076716308988,0.0004325360910392,2.098564830538495e-05,0.9995674637965646,-2.098564830538495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2605583513242377,0.0348708028986752,1.8065030411675385,2.135744757022508,0,0.0566772521540194,0.0
cell_00313,-0.0002441476390231,1470.5969895582932,-2.8154405381944443,19.122659022991478,0.0338304392496745,0.5566781759262085,0.0017379720229655,161.04705810546875,-0.093585081398487,1932.8931743915264,3.0008554103231813,479.5306419225839,5.135467279548319,931.1397423377404,0.079508338341347,-0.8006670475006104,0.0428187288343906,550.4421997070312,-2.594874382019043,0.3865394592285156,-1.5111682841961738e-05,0.3869366347789764,-0.0001955960615305,-0.4055068761819186,-0.0021086651033622,41.35388895024014,0.0371790041958934,20.0,-1.5314928903312837,260.6217766136006,14.782656602857438,-0.5577900660734644,-0.7860399268314997,-25.498184448345903,-73.19576547011141,0.2770615792076548,0.0102488548976097,0.7153981147902597,-0.0114306730300322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075403084858807,0.0011818181324224,0,0,6.066019881963974,0.0287857598328767,0.3709335917930842,0.0435922146402205,0.1499045012107692,4.4089849174077225,0,0.0151856713372409,0.0
cell_00324,0.0146159632131457,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7905300855636597,0.0435277037322521,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4270700695529368,-0.0013725322337881,21.01284693985146,0.3424300652845178,19.0938602681722,-0.9603304159918888,244.319622747032,17.871743672908437,-0.1235100393848008,0.3261493620059821,-23.946742739043096,-76.82221987178482,0.0746551983311401,0.0029500640224216,0.925095476766302,-0.0030032533254974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000249324876657,5.318930307582904e-05,0,0,5.8621045900365285,-0.0262373188155235,0.30014428031946,0.0389655844386787,0.9447824030504648,1.983682588355104,1,0.0624762337006486,0.0
cell_00331,0.0245403833687305,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7461627721786499,0.0485655590891838,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.421564412732326,-0.0012244976901367,54.00639776828327,0.0650831786284967,20.0,-1.6081236285519105,269.9476078531037,14.943517497498677,-0.2364062743690328,0.3072978766471079,4.139455537699609,-82.80980390296833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2798403841996762,0.0399982362384094,0.4734088785202152,0.7315728726182361,4,0.0733812800269207,0.0
cell_00342,0.0077276164665818,1470.5969895582932,-2.8154405381944443,19.122659022991478,0.0338304392496745,0.5566781759262085,0.0017379720229655,161.04705810546875,-0.093585081398487,1932.8931743915264,3.0008554103231813,479.5306419225839,5.135467279548319,931.1397423377404,0.079508338341347,-0.8006670475006104,0.0428187288343906,550.4421997070312,-2.594874382019043,0.3865394592285156,-1.5111682841961738e-05,0.3869366347789764,-0.0001955960615305,-0.4468199985729331,-0.0009368763460554,148.62888938343454,0.0149108492780482,20.0,-2.840073478929066,387.034649373768,26.84397787498164,-0.5391638175305504,-0.3067776607360037,72.54481565150837,50.27474759109949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.264264300225545,0.0137152220546194,0.326975931348565,0.0396761591460356,0.4815845257165909,4.5990573336668055,0,0.0178306340109524,0.0
cell_00343,0.0065278322435915,1470.5969895582932,-2.8154405381944443,19.122659022991478,0.0338304392496745,0.5566781759262085,0.0017379720229655,161.04705810546875,-0.093585081398487,1932.8931743915264,3.0008554103231813,479.5306419225839,5.135467279548319,931.1397423377404,0.079508338341347,-0.8006670475006104,0.0428187288343906,550.4421997070312,-2.594874382019043,0.3865394592285156,-1.5111682841961738e-05,0.3869366347789764,-0.0001955960615305,-0.4778704797708201,-0.0022997341578077,164.31526002650642,0.016982449455247,20.0,-2.804142460330244,424.4899699607963,26.019274048465103,0.4100402830971544,0.3548737057959629,99.41663502183911,94.47274231484292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2866951078106676,0.034379653075742,0.7851357872105545,4.152331881018108,0,0.0206289099272257,0.0
cell_00344,0.0138659020885825,1473.1972838639433,-2.800665009038804,19.10832095653497,0.0338314009789742,0.550485065359907,0.0017207070075538,161.0067047918822,-0.0942596735744064,1942.813687554161,3.014600838853244,486.5037087035735,5.154390644555902,931.6493156605248,0.0788607001092798,-0.8006670475006104,0.0428187288343906,562.1402949433149,-2.496901389154428,0.3796143047152768,-1.2515238953357668e-05,0.3801862084536307,-0.0001911313797994,-0.4624717397790038,-0.0023836025611589,45.82480449514415,0.3017612506082101,20.0,-1.5122118202046018,291.5773113201542,23.17929251517308,0.4238823144393247,0.1219054274524828,-11.073234205222333,-23.18474911549273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2801173177239128,0.0359605713328422,1.056650649547239,3.719192350750943,0,0.0236052106704712,0.0
cell_00375,0.0102118654176592,1726.3722768930288,-6.983685563568376,17.672874524043156,0.0259979528443426,0.4934344589710235,0.0011132437502965,156.47320556640625,-0.1434814631938934,1577.843731219952,1.6700592614850427,87.82793690608098,-1.2528613359500198,940.1117764986478,-0.6306249791332786,-0.7867847681045532,0.0278420262038707,786.091064453125,-6.049042701721191,0.4309886693954468,-0.0003364883305039,0.4256453216075897,-0.0002122845762642,-0.4863134454869821,-0.0017413954601884,256.0004082825488,0.0135395183133292,20.0,-3.021788059282484,962.4660274007264,25.98973318767085,0.0714271700693957,0.2600544968646914,102.16139008387825,254.8251419035205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2094172582700554,0.0324335183766327,6.620248544908318,5.024703034539908,0,0.0089086594983755,0.0
cell_00378,0.005400069989264,1625.707040640024,0.3075546708066262,18.329801119290867,0.0313061614729399,0.4797219336032867,0.0010144605766981,161.93504333496094,-0.0883436352014541,4433.214120718149,5.614974876469016,2807.507056603065,5.307423001802885,953.872586763822,0.2674325587606855,-0.995402216911316,0.0123951630666852,672.1873779296875,0.4047825932502746,0.4249492585659027,-9.295112977270036e-05,0.4168974757194519,-9.29899324546568e-05,-0.4421211628853534,-0.0014735340944228,13.398557246948815,0.9661173754318624,15.272103985144977,0.5743678389767625,397.0367147409235,11.410047501272592,-0.0490477964645997,0.1923591999541672,-35.26762332461285,-118.81578884007608,0.4264582981248379,0.0068221410484538,0.49085503144052,-0.011605140792182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826866720982772,0.0047829997335023,0,0,6.25420367027819,-0.0088755085604833,0.3385541764894911,0.0307325816148854,16.111005910991377,4.963753626868983,0,0.0045231204056726,0.0
