pair_number,panel,feature_x,feature_y,x,y,predicted_original,predicted_joint_land_cover_change
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0029051888371418,-0.0049892881109406,0.02300828881561756,0.025340350344777107
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0032845486099298,-0.0049892881109406,0.023251645267009735,0.02566402032971382
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0036639083827179,-0.0049892881109406,0.023259229958057404,0.02575913444161415
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004043268155506,-0.0049892881109406,0.023370595648884773,0.026003815233707428
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004422627928294,-0.0049892881109406,0.023498421534895897,0.026158349588513374
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0048019877010821,-0.0049892881109406,0.023523831740021706,0.026295427232980728
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0051813474738702,-0.0049892881109406,0.023652929812669754,0.026658128947019577
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0055607072466582,-0.0049892881109406,0.023653142154216766,0.026747865602374077
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0059400670194463,-0.0049892881109406,0.023633431643247604,0.026893017813563347
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0092343238920763,-0.00486046515679,0.0031934170983731747,-0.0069658756256103516
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0088549641192882,-0.00486046515679,0.0033698873594403267,-0.006603708490729332
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0084756043465002,-0.00486046515679,0.0037201198283582926,-0.005984347779303789
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0080962445737121,-0.00486046515679,0.00428395252674818,-0.004982014186680317
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924,-0.00486046515679,0.004908325616270304,-0.004009377211332321
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007337525028136,-0.00486046515679,0.005261129233986139,-0.003476180136203766
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0069581652553479,-0.00486046515679,0.005702310241758823,-0.0025979685597121716
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0065788054825598,-0.00486046515679,0.0059015764854848385,-0.002239347668364644
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0061994457097717,-0.00486046515679,0.0059219226241111755,-0.0017929738387465477
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0058200859369837,-0.00486046515679,0.006707727909088135,-0.00040609578718431294
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0054407261641956,-0.00486046515679,0.008409569039940834,0.002441320102661848
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0050613663914075,-0.00486046515679,0.008400741033256054,0.0026401260402053595
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0046820066186195,-0.00486046515679,0.00988027360290289,0.004501106683164835
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314,-0.00486046515679,0.01049911417067051,0.005699860397726297
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0039232870730433,-0.00486046515679,0.010652928613126278,0.006153411697596312
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553,-0.00486046515679,0.011286566033959389,0.007302587851881981
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0031645675274672,-0.00486046515679,0.01179997157305479,0.008126386441290379
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0027852077546791,-0.00486046515679,0.013303974643349648,0.009694170206785202
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0024058479818911,-0.00486046515679,0.013581156730651855,0.010305220261216164
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103,-0.00486046515679,0.014373372308909893,0.01151212863624096
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149,-0.00486046515679,0.01512038242071867,0.012761692516505718
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269,-0.00486046515679,0.016208304092288017,0.014352534897625446
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388,-0.00486046515679,0.017036959528923035,0.015471312217414379
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507,-0.00486046515679,0.017868738621473312,0.016739966347813606
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0001296893451627,-0.00486046515679,0.019102443009614944,0.018957095220685005
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253,-0.00486046515679,0.021437857300043106,0.02227236144244671
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134,-0.00486046515679,0.021723715588450432,0.02295709401369095
