k,cluster,year,median_smoothed_regain,n
3,2,2003,0.5184852402378736,9129
3,2,2004,0.5211155487660136,9129
3,2,2005,0.5795529432796176,9129
3,2,2006,0.617480735946049,9129
3,2,2007,0.539084536724735,9129
3,2,2008,0.4273722485142273,9129
3,2,2009,0.37440848873128013,9129
3,2,2010,0.4262863530187928,9129
3,2,2011,0.5492009052733623,9129
3,2,2012,0.666517411846609,9129
3,2,2013,0.7585925333171759,9129
3,2,2014,0.7759993998266891,9129
3,2,2015,0.7539506228215025,9129
3,2,2016,0.7793829301899496,9129
3,2,2017,0.7941594044128791,9129
3,2,2018,0.8518109743346168,9129
3,2,2019,0.8267289379323021,9129
3,2,2020,0.8169760006725753,9129
3,2,2021,0.8380680232667451,9129
3,2,2022,0.8358638547771888,9129
3,2,2023,0.8842577441905792,9129
3,2,2024,0.8607852048491155,9129
3,2,2025,0.897614952456154,9129
5,0,2000,0.5224538608298432,5921
5,0,2001,0.4731325592816908,5921
5,0,2002,0.36181012323970646,5921
5,0,2003,0.245554436699023,5921
5,0,2004,0.2928940160427354,5921
5,0,2005,0.40601430489109175,5921
5,0,2006,0.502396636331773,5921
5,0,2007,0.4861530417988667,5921
5,0,2008,0.3864185792370818,5921
5,0,2009,0.3804720047192573,5921
5,0,2010,0.4163190800145584,5921
5,0,2011,0.5971101122118377,5921
5,0,2012,0.7124656248940183,5921
5,0,2013,0.7727522695080186,5921
5,0,2014,0.7573944754825704,5921
5,0,2015,0.6794515778659388,5921
5,0,2016,0.6653011038250061,5921
5,0,2017,0.5870099579283723,5921
5,0,2018,0.5792858433944207,5921
5,0,2019,0.5248572488260215,5921
5,0,2020,0.46818082277827405,5921
5,0,2021,0.5010409898202561,5921
5,0,2022,0.5010906698503415,5921
5,0,2023,0.6138053616277271,5921
5,0,2024,0.556776073591645,5921
5,0,2025,0.5988674144741691,5921
5,1,2000,0.6584220377326628,6915
5,1,2001,0.6395443431389326,6915
5,1,2002,0.6095111641939059,6915
5,1,2003,0.5675394250888482,6915
5,1,2004,0.5739188527148357,6915
5,1,2005,0.6265130641190658,6915
5,1,2006,0.6531765594143518,6915
5,1,2007,0.5533943264356572,6915
5,1,2008,0.42617269961447274,6915
5,1,2009,0.3573880871210829,6915
5,1,2010,0.40425083284668073,6915
5,1,2011,0.5171496219060043,6915
5,1,2012,0.6313779980560802,6915
5,1,2013,0.7264101277901315,6915
5,1,2014,0.751222567298948,6915
5,1,2015,0.7341547440028836,6915
5,1,2016,0.7678261084249723,6915
5,1,2017,0.7895479262358268,6915
5,1,2018,0.8533450878718499,6915
5,1,2019,0.8335600572400269,6915
5,1,2020,0.8271813540368211,6915
5,1,2021,0.8489234853830698,6915
5,1,2022,0.8501723168020122,6915
5,1,2023,0.895666813433945,6915
5,1,2024,0.8763705710188668,6915
5,1,2025,0.9114958854425168,6915
5,2,2000,0.28873485743059835,9734
5,2,2001,0.2744244111569689,9734
5,2,2002,0.2291493584283681,9734
5,2,2003,0.1583598683820891,9734
5,2,2004,0.17425033046487215,9734
5,2,2005,0.2445818466109959,9734
5,2,2006,0.29281891844410096,9734
5,2,2007,0.30813591340496554,9734
5,2,2008,0.2458839035834005,9734
5,2,2009,0.2574660400781443,9734
5,2,2010,0.24833693452772448,9734
5,2,2011,0.36486347646934236,9734
5,2,2012,0.4586543012641059,9734
5,2,2013,0.5495672502703721,9734
5,2,2014,0.5665936735010633,9734
5,2,2015,0.5306734283783497,9734
5,2,2016,0.5858405312033164,9734
5,2,2017,0.6131362894620882,9734
5,2,2018,0.6978616545854122,9734
5,2,2019,0.6724637978757847,9734
5,2,2020,0.6519524884081266,9734
5,2,2021,0.7108981569855046,9734
5,2,2022,0.7321237045932791,9734
5,2,2023,0.8466219019121504,9734
5,2,2024,0.813903924849119,9734
5,2,2025,0.8659694183722824,9734
5,3,2000,0.31495021541401824,14488
5,3,2001,0.2812479549221806,14488
5,3,2002,0.23077870640331538,14488
5,3,2003,0.1468357299726466,14488
5,3,2004,0.19050808525671115,14488
5,3,2005,0.2946641418806643,14488
5,3,2006,0.391543825646482,14488
5,3,2007,0.4148385559865688,14488
5,3,2008,0.35265171443167853,14488
5,3,2009,0.3615429100962486,14488
5,3,2010,0.3798167252797622,14488
5,3,2011,0.5368002735843002,14488
5,3,2012,0.6653239882424897,14488
5,3,2013,0.7655165361654783,14488
5,3,2014,0.7770043074219148,14488
5,3,2015,0.7505714322992003,14488
5,3,2016,0.7806506670360074,14488
5,3,2017,0.7849161929903299,14488
5,3,2018,0.8359085923699386,14488
5,3,2019,0.8004665769917225,14488
5,3,2020,0.7835354293148824,14488
5,3,2021,0.8095476498702432,14488
5,3,2022,0.804667723386779,14488
5,3,2023,0.8638877353492573,14488
5,3,2024,0.8203846112135564,14488
5,3,2025,0.8604944507301535,14488
5,4,2000,0.7782361766298413,1215
5,4,2001,0.7000781872148684,1215
5,4,2002,0.4771013803599331,1215
5,4,2003,0.3241343860162698,1215
5,4,2004,0.36608056765301783,1215
5,4,2005,0.46923336503630364,1215
5,4,2006,0.5171264590707461,1215
5,4,2007,0.41405538206313763,1215
5,4,2008,0.29111211840111473,1215
5,4,2009,0.22503991471916993,1215
5,4,2010,0.2427933480986353,1215
5,4,2011,0.33159973799509856,1215
5,4,2012,0.33271915283699793,1215
5,4,2013,0.3061379187645048,1215
5,4,2014,0.29417739735613707,1215
5,4,2015,0.23801957911520663,1215
5,4,2016,0.2414165211924307,1215
5,4,2017,0.1796498978403709,1215
5,4,2018,0.17129751943539387,1215
5,4,2019,0.1663954886330903,1215
5,4,2020,0.14360518078433485,1215
5,4,2021,0.16773262983531603,1215
5,4,2022,0.17928023686721298,1215
5,4,2023,0.2519337683758242,1215
5,4,2024,0.23086834191942565,1215
5,4,2025,0.2460122684283099,1215
