stage,year,component,n,mean,median,q25,q75
raw,2017,kndvi_mean,38281,0.4653436932745502,0.4883886578464478,0.397800522217085,0.5531875745540744
raw,2017,nbr_mean,38281,0.5661436753730437,0.5898986755071786,0.496992383523841,0.6544268767696059
raw,2017,ndmi_mean,38281,0.2748538775649326,0.2880528563685889,0.2127486534619958,0.345274738331153
raw,2017,bsi_mean,38281,-0.2136509835908273,-0.2272290821778254,-0.2903083666377889,-0.145226169337434
raw,2018,kndvi_mean,38281,0.4520213332518187,0.4734992974977508,0.3777745518588904,0.5440294174815041
raw,2018,nbr_mean,38281,0.5542476585398937,0.5771031889758442,0.4790942987288875,0.6464294461786328
raw,2018,ndmi_mean,38281,0.26834208555521055,0.280651548142121,0.2020732811348368,0.3420922463433833
raw,2018,bsi_mean,38281,-0.20299800684026784,-0.2154740052280088,-0.2837981605014156,-0.1294234879656459
raw,2019,kndvi_mean,38281,0.4642877804531645,0.4894433690950611,0.3971502706322895,0.5532791280946604
raw,2019,nbr_mean,38281,0.5676248909545345,0.593696024367922,0.4989735248926031,0.6574624471809722
raw,2019,ndmi_mean,38281,0.27751828146528473,0.2921972591042931,0.2158140954919366,0.3493275339320399
raw,2019,bsi_mean,38281,-0.21377716586621565,-0.2290118506269153,-0.2919318470429538,-0.1453202335594551
raw,2020,kndvi_mean,38281,0.44277616630105676,0.4631857049001132,0.3744165996580473,0.5287191825081782
raw,2020,nbr_mean,38281,0.55364028781165,0.5754650314313984,0.4816958034864725,0.6435272648342637
raw,2020,ndmi_mean,38281,0.2657491627525627,0.277650125669534,0.2037050300922697,0.3365929725846729
raw,2020,bsi_mean,38281,-0.1998485318085719,-0.2121011543094678,-0.2753129537342664,-0.1320878271129092
raw,2021,kndvi_mean,38281,0.44734697562307063,0.4758775474072159,0.3731172335136333,0.540821566387663
raw,2021,nbr_mean,38281,0.5457677870037737,0.5767991822313928,0.4641222050493025,0.6459330824639038
raw,2021,ndmi_mean,38281,0.2532612546777615,0.2713505688131569,0.1796728037935538,0.3342734874165619
raw,2021,bsi_mean,38281,-0.19354318558098463,-0.2121902888398158,-0.2787714250874168,-0.1155324174281585
raw,2022,kndvi_mean,38281,0.48050563299233084,0.5052093815641323,0.4169535200017524,0.5657085680884981
raw,2022,nbr_mean,38281,0.5841261596482957,0.6099816123150265,0.514755253498323,0.6739631518407043
raw,2022,ndmi_mean,38281,0.2930530927962415,0.3076628433877708,0.2298537142499906,0.3655325772542324
raw,2022,bsi_mean,38281,-0.23067045791836052,-0.2459440998938078,-0.3088104118556771,-0.1609233133556772
raw,2023,kndvi_mean,38281,0.45377486961735564,0.4771722498822773,0.3906275302301508,0.537327379582971
raw,2023,nbr_mean,38281,0.5522331438357898,0.5768843073390651,0.4843140693788669,0.6401055882096173
raw,2023,ndmi_mean,38281,0.26530200962854805,0.2795365795218142,0.2034905592501226,0.3357443125003302
raw,2023,bsi_mean,38281,-0.20409779200709527,-0.218536001478151,-0.2777202998039799,-0.1381971526679156
raw,2024,kndvi_mean,38281,0.49087351441686433,0.5158322426147564,0.4386676920799434,0.5671431390965187
raw,2024,nbr_mean,38281,0.5815391727257133,0.6043815720563799,0.524914381144602,0.6607581137015422
raw,2024,ndmi_mean,38281,0.29244918628848365,0.3050027539652512,0.2411183663286818,0.3551785967776526
raw,2024,bsi_mean,38281,-0.2335891244426421,-0.2478370526883316,-0.3016365072893748,-0.1766708484279985
raw,2025,kndvi_mean,38281,0.46615879541108685,0.4924972440825044,0.4021919895863157,0.5521621080561283
raw,2025,nbr_mean,38281,0.5595565216382378,0.5876879213857924,0.490870286111269,0.6508469187241909
raw,2025,ndmi_mean,38281,0.2709574917890124,0.2879829412033453,0.2077826348769452,0.3449948418088089
raw,2025,bsi_mean,38281,-0.21043234412761055,-0.2277073086265063,-0.2887944546849462,-0.1419957320607129
raw,pooled_cell_years,kndvi_mean,995306,0.4187335041721602,0.4351524664334824,0.3375364520163917,0.5152795179485767
raw,pooled_cell_years,nbr_mean,995306,0.5393128971611225,0.5608936745275988,0.464896726440562,0.6300379266322724
raw,pooled_cell_years,ndmi_mean,995306,0.24461171658132522,0.25481316905866447,0.18112218468354974,0.31478973761092266
raw,pooled_cell_years,bsi_mean,995306,-0.18117252140965143,-0.19122492437088173,-0.2568612429324404,-0.11141220087409634
scaled_ECI_components,2000,kndvi_mean,38281,0.5503009449704344,0.5748915143815249,0.37398505628399287,0.7481028244699232
scaled_ECI_components,2000,nbr_mean,38281,0.593149224904958,0.6277456855213595,0.43530876146072706,0.7751480203994802
scaled_ECI_components,2000,ndmi_mean,38281,0.5057941403797902,0.5267277593736469,0.35845563054207197,0.6675556474644833
scaled_ECI_components,2000,bsi_mean,38281,0.490360094666969,0.5098661790560688,0.32399059340171976,0.6681950511503786
scaled_ECI_components,2001,kndvi_mean,38281,0.5439741069132855,0.575821267668999,0.3739786194104345,0.7352900307001656
scaled_ECI_components,2001,nbr_mean,38281,0.5996249270207051,0.6426919014285788,0.441443488408418,0.7818810183517024
scaled_ECI_components,2001,ndmi_mean,38281,0.5138719965608105,0.5421488856643719,0.360161514023198,0.6815289285448736
