year,component,n,n_missing,lower_clipped,upper_clipped,lower_fraction,upper_fraction,raw_median
2008,nbr_mean,38281,0,726,164,0.018965021812387347,0.004284109610511742,0.5297527111952287
2008,ndmi_mean,38281,0,724,97,0.018912776573234764,0.002533894098900238,0.2227271051901361
2008,bsi_mean,38281,0,55,738,0.001436744076696011,0.01927849324730284,-0.1599878619587866
2009,kndvi_mean,38281,0,1305,0,0.0340900185470599,0.0,0.3621604752715222
2009,nbr_mean,38281,0,1699,124,0.044382330660118596,0.0032392048274600977,0.5164751714930074
2009,ndmi_mean,38281,0,2166,71,0.05658159400224654,0.001854705989916669,0.2095758118024225
2009,bsi_mean,38281,0,15,1873,0.00039183929364436664,0.04892766646639325,-0.1445232259583971
2010,kndvi_mean,38281,0,790,13,0.020636869465269977,0.00033959405449178443,0.3940528585495522
2010,nbr_mean,38281,0,672,94,0.017554400355267626,0.0024555262401713645,0.5368991889455489
2010,ndmi_mean,38281,0,805,53,0.021028708758914345,0.0013844988375434288,0.2257360384743778
2010,bsi_mean,38281,0,20,746,0.0005224523915258223,0.01948747420391317,-0.1620115152825239
2011,kndvi_mean,38281,0,686,13,0.017920117029335703,0.00033959405449178443,0.3809915374449589
2011,nbr_mean,38281,0,578,252,0.015098874115096262,0.00658290013322536,0.5359786608158617
2011,ndmi_mean,38281,0,547,115,0.014289072908231237,0.0030041012512734776,0.2276486780200276
2011,bsi_mean,38281,0,36,526,0.00094041430474648,0.013740497897129124,-0.1642765599732969
2012,kndvi_mean,38281,0,451,1705,0.01178130142890729,0.04453906637757634,0.4647154062487059
2012,nbr_mean,38281,0,449,734,0.011729056189754708,0.019174002768997674,0.5779103166637202
2012,ndmi_mean,38281,0,348,288,0.009090671612549306,0.00752331443797184,0.2665573918569472
2012,bsi_mean,38281,0,518,372,0.013531516940518795,0.009717614482380293,-0.209862058817823
2013,kndvi_mean,38281,0,457,1807,0.011938037146365037,0.04720357357435804,0.4761423531639879
2013,nbr_mean,38281,0,508,1049,0.013270290744755884,0.027402627935529375,0.5798100273937192
2013,ndmi_mean,38281,0,352,645,0.009195162090854471,0.016849089626707767,0.2766479102625868
2013,bsi_mean,38281,0,889,392,0.023223008803322797,0.010240066873906115,-0.2142303105706352
2014,kndvi_mean,38281,0,543,712,0.014184582429926073,0.01859930513831927,0.4546762804496078
2014,nbr_mean,38281,0,548,1274,0.014315195527807528,0.03328021734019487,0.5771285694247262
2014,ndmi_mean,38281,0,353,1140,0.009221284710430763,0.029779786316971864,0.2773985603629039
2014,bsi_mean,38281,0,1220,379,0.031869595883075155,0.00990047281941433,-0.2114871805106126
2015,kndvi_mean,38281,0,434,1271,0.011337216896110341,0.033201849481466005,0.4777876168789153
2015,nbr_mean,38281,0,500,604,0.013061309788145556,0.01577806222407983,0.5745927033603718
2015,ndmi_mean,38281,0,353,421,0.009221284710430763,0.010997622841618558,0.2712338275546319
