elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",forest,6,219,False,0.34778960431472944,0.4875151242632061,0.1397255199484765,0.45553143860664197,0.5594513414077448,0.10391990280110286
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",other_cover_combined,0,8,False,,,,0.07808798479935866,0.3073148971080424,0.2292269123086836
"[1000.0, 1000000000.0)","[5.0, 15.0)",forest,2,0,False,0.279168221105612,0.8180305365679943,0.5388623154623822,,,
"[200.0, 500.0)","[-1000000000.0, 5.0)",barren,1,0,False,0.0,0.0,0.0,,,
"[200.0, 500.0)","[-1000000000.0, 5.0)",built,20,18,False,0.02059689868822894,0.014688007270257455,-0.005908891417971486,0.0455110601587856,0.039489585095610714,-0.006021475063174901
"[200.0, 500.0)","[-1000000000.0, 5.0)",cropland,677,954,True,0.26857319205850255,0.16291986618026058,-0.10565332587824197,0.2647458503759901,0.16461819109740117,-0.10012765927858887
"[200.0, 500.0)","[-1000000000.0, 5.0)",forest,2,13,False,0.4832411970394551,0.48731078574426495,0.004069588704809793,0.2706718320464927,0.3919904657317256,0.12131863368523278
"[200.0, 500.0)","[-1000000000.0, 5.0)",water,13,6,False,0.5483239813017842,0.4972294511660849,-0.05109453013569921,0.46581646317375053,0.39131495162154,-0.07450151155221049
"[200.0, 500.0)","[15.0, 25.0)",cropland,2,3,False,0.15149991156363574,0.22715637504363656,0.0756564634800008,0.2167141485828715,0.2980437977997881,0.0813296492169166
"[200.0, 500.0)","[15.0, 25.0)",forest,13276,26191,True,0.6500298000134156,0.7938953198190044,0.14386551980558884,0.6576912885050683,0.794121583425819,0.13643029492075073
"[200.0, 500.0)","[15.0, 25.0)",other_cover_combined,1,1,False,0.0255777163997489,0.0860608025159334,0.0604830861161845,0.0135652252387733,0.0652952120202251,0.0517299867814518
"[200.0, 500.0)","[25.0, 1000000000.0)",forest,315,753,True,0.7217910316120374,0.8336418068528001,0.11185077524076284,0.7212734032694431,0.8131102178138747,0.09183681454443149
"[200.0, 500.0)","[5.0, 15.0)",barren,1,0,False,0.0,0.0,0.0,,,
"[200.0, 500.0)","[5.0, 15.0)",built,14,15,False,0.055784765547290775,0.07911353505561056,0.023328769508319785,0.049362348333426585,0.17532974796709214,0.12596739963366552
"[200.0, 500.0)","[5.0, 15.0)",cropland,2033,2717,True,0.2212973067957403,0.3181119447359675,0.09681463794022717,0.2329141424800828,0.2934260632646777,0.0605119207845949
"[200.0, 500.0)","[5.0, 15.0)",forest,12031,16922,True,0.4705380493046021,0.6251879407356176,0.1546498914310155,0.4715451091032344,0.6112139608685698,0.13966885176533536
"[200.0, 500.0)","[5.0, 15.0)",other_cover_combined,10,13,False,0.00259425320021947,0.20323490231555202,0.20064064911533253,0.0,0.30943406222221215,0.30943406222221215
"[200.0, 500.0)","[5.0, 15.0)",water,12,44,False,0.5612666765277879,0.565382842575933,0.004116166048145046,0.5715961544254449,0.5538200899884494,-0.017776064436995268
"[500.0, 1000.0)","[15.0, 25.0)",cropland,1,3,False,0.0089488797034336,0.3017838979974031,0.2928350182939694,0.16215109320241614,0.5436624675753028,0.38151137437288657
"[500.0, 1000.0)","[15.0, 25.0)",forest,4273,11809,True,0.7267225991982568,0.8462374222300515,0.11951482303179464,0.7150754226658493,0.8444378395433851,0.12936241687753577
"[500.0, 1000.0)","[15.0, 25.0)",other_cover_combined,0,3,False,,,,0.13081531947576658,0.09948107272197576,-0.031334246753790804
