replicate,ok,n,unique_blocks,iterations
479,True,37968,147,38
480,True,40447,151,39
481,True,37886,151,36
482,True,39498,152,39
483,True,41639,151,38
484,True,37480,158,39
485,True,38424,158,42
486,True,37421,154,41
487,True,35068,142,35
488,True,39058,157,36
489,True,40063,150,39
490,True,39776,150,43
491,True,33985,143,38
492,True,37751,151,35
493,True,34096,151,36
494,True,40906,149,43
495,True,38064,154,39
496,True,37438,154,33
497,True,40735,147,41
498,True,40261,153,36
499,True,35909,152,38
500,True,38014,154,41
501,True,38824,156,44
502,True,41276,145,49
503,True,36212,150,35
504,True,39915,154,43
505,True,36954,144,38
506,True,39885,155,42
507,True,36671,149,41
508,True,41126,153,48
509,True,39685,152,41
510,True,38337,154,39
511,True,39407,153,34
512,True,38251,145,39
513,True,40156,147,36
514,True,40025,146,37
515,True,38181,145,35
516,True,36915,152,42
517,True,41541,151,43
518,True,35396,150,37
519,True,35334,150,40
520,True,37963,157,39
521,True,41217,143,31
522,True,39044,153,36
523,True,35044,151,41
524,True,37573,153,45
525,True,40667,141,37
526,True,38569,148,35
527,True,38759,146,33
528,True,41231,157,44
529,True,37791,148,43
530,True,41247,139,39
531,True,37627,144,38
532,True,35542,147,38
533,True,38857,150,41
534,True,42379,144,35
535,True,41286,143,38
536,True,40804,141,37
537,True,35982,154,41
538,True,37487,148,37
539,True,38578,145,37
540,True,39592,149,43
541,True,39789,156,40
542,True,36521,148,38
543,True,36251,159,36
544,True,37740,153,43
545,True,39113,150,40
546,True,34830,143,35
547,True,43477,151,42
548,True,39430,153,43
549,True,37518,163,36
550,True,37786,149,37
551,True,37527,151,39
552,True,37735,149,37
553,True,41060,146,35
554,True,39521,146,41
555,True,40516,149,41
556,True,41178,151,35
557,True,39605,151,38
558,True,37188,153,45
559,True,36902,143,42
560,True,35165,142,41
561,True,35361,148,36
562,True,38089,144,43
563,True,36910,145,38
564,True,37102,151,44
565,True,38789,145,39
566,True,37840,155,36
567,True,37300,162,39
568,True,39916,148,33
569,True,37753,156,37
570,True,38744,153,43
571,True,37185,154,47
572,True,38463,145,42
573,True,36233,161,40
574,True,38210,149,41
575,True,36230,153,39
576,True,41866,143,41
577,True,39779,144,47
578,True,38091,150,43
579,True,35368,146,39
580,True,37597,146,37
581,True,37275,148,40
582,True,41058,153,37
583,True,37198,154,35
584,True,39001,146,40
585,True,35052,149,35
586,True,34507,153,38
587,True,37762,145,42
588,True,39578,150,32
589,True,39846,152,41
590,True,35089,148,36
591,True,40842,148,40
592,True,39375,145,40
593,True,38265,152,38
594,True,40815,147,40
595,True,39163,148,34
596,True,43257,150,37
597,True,36984,146,39
598,True,38701,149,35
599,True,41041,151,36
600,True,36348,148,37
601,True,35290,157,36
602,True,39207,153,44
603,True,37136,144,39
604,True,39421,151,40
605,True,38638,153,36
606,True,37929,150,42
607,True,36809,162,35
608,True,38394,154,38
609,True,38893,142,37
610,True,41060,151,39
611,True,40910,153,37
612,True,35165,154,40
613,True,39744,150,33
614,True,37467,148,37
615,True,37627,156,41
616,True,43409,151,40
617,True,38366,148,40
618,True,36348,155,37
619,True,36327,150,41
620,True,35776,149,42
621,True,39563,155,41
622,True,38344,152,43
623,True,37391,147,40
624,True,38274,147,39
625,True,38589,157,36
626,True,38374,144,39
627,True,39695,152,35
628,True,35367,162,41
629,True,40420,151,36
630,True,35226,144,32
631,True,35896,136,39
632,True,38600,154,36
633,True,40080,151,44
634,True,36069,147,34
635,True,39549,156,40
636,True,36052,153,38
637,True,41219,145,41
638,True,38472,157,37
639,True,37808,148,39
640,True,38268,161,37
641,True,40270,152,37
642,True,39190,146,37
643,True,35269,135,33
644,True,37478,147,36
645,True,38575,153,37
646,True,37238,143,36
647,True,38355,151,40
648,True,35698,145,36
649,True,40294,147,39
650,True,37102,147,40
651,True,39136,149,34
652,True,35727,147,38
653,True,38789,138,33
654,True,36095,148,37
655,True,36377,152,47
656,True,41107,147,40
657,True,39570,151,42
658,True,38839,141,41
659,True,38240,154,49
660,True,34209,145,37
661,True,38162,157,36
662,True,42798,142,46
663,True,38291,147,38
664,True,40546,157,38
665,True,35900,156,39
666,True,39375,158,34
667,True,38558,154,37
668,True,39612,147,45
669,True,38140,151,46
670,True,39124,149,44
671,True,39722,155,36
672,True,41102,150,38
673,True,38358,145,41
674,True,37008,145,38
675,True,38625,142,43
676,True,36541,146,40
677,True,38932,156,38
678,True,34479,145,35
679,True,38844,158,38
680,True,36230,147,42
681,True,37817,154,37
682,True,37995,152,39
683,True,37918,146,36
684,True,39175,148,38
685,True,35328,144,39
686,True,37836,155,38
687,True,39893,148,37
688,True,38972,151,40
689,True,37071,151,37
690,True,39767,142,38
691,True,37826,149,46
692,True,40223,159,43
693,True,39634,151,41
694,True,38001,148,44
695,True,37689,145,44
696,True,40567,143,40
697,True,40568,148,37
698,True,37896,158,39
699,True,38860,151,36
700,True,38997,146,41
701,True,38416,156,41
702,True,36088,158,42
703,True,33967,155,37
704,True,38546,155,35
705,True,38236,154,36
706,True,37899,146,41
707,True,36821,154,38
708,True,36601,154,39
709,True,35418,142,44
710,True,38823,139,48
711,True,38100,145,44
712,True,37290,157,40
713,True,38584,146,33
714,True,39998,155,43
715,True,38001,145,42
716,True,38657,152,48
717,True,38452,156,35
718,True,39660,143,34
719,True,36796,149,42
720,True,38291,148,34
721,True,37359,149,45
722,True,39650,156,42
723,True,38820,149,37
724,True,39335,160,39
725,True,40496,152,38
726,True,36454,157,46
727,True,39124,150,44
728,True,38017,153,40
729,True,38629,148,34
730,True,38579,155,39
731,True,38085,152,36
732,True,37101,147,45
733,True,37873,147,43
734,True,35555,154,38
735,True,40655,154,36
736,True,42344,145,42
737,True,38696,146,47
738,True,36690,139,54
739,True,37534,156,36
740,True,37570,152,36
741,True,37066,149,37
742,True,38753,149,41
743,True,39377,149,37
744,True,39101,153,37
745,True,36328,148,39
746,True,39024,144,34
747,True,39694,151,37
748,True,38241,151,42
749,True,34791,156,40
750,True,39005,157,42
751,True,36941,155,37
752,True,40382,149,44
753,True,38113,154,34
754,True,39548,158,35
755,True,39732,148,42
756,True,38692,148,38
757,True,37961,150,40
758,True,35982,150,41
759,True,39719,156,36
760,True,38058,153,40
761,True,37489,148,34
762,True,37531,149,40
763,True,38976,158,43
764,True,36932,144,44
765,True,37006,147,36
766,True,38202,156,42
767,True,38787,151,37
768,True,36480,149,46
769,True,39256,149,37
770,True,38705,152,44
771,True,38797,144,33
772,True,39047,155,45
773,True,37989,153,42
774,True,36990,146,36
775,True,36332,143,37
776,True,35819,139,43
777,True,37993,152,47
778,True,41869,148,39
779,True,38383,150,39
780,True,38320,149,36
781,True,37443,147,35
782,True,35917,153,37
783,True,39397,151,39
784,True,37339,146,39
785,True,37841,158,35
786,True,38750,152,41
787,True,36774,154,40
788,True,35268,164,36
789,True,38113,146,45
790,True,38768,150,33
791,True,40014,156,40
792,True,35405,145,40
793,True,37933,148,42
794,True,37530,154,38
795,True,37309,151,41
796,True,41311,152,41
797,True,36598,148,42
798,True,36171,153,40
799,True,39632,150,34
800,True,36033,153,39
801,True,39075,159,32
802,True,38692,153,47
803,True,37079,150,38
804,True,40073,157,42
805,True,36392,151,37
806,True,41808,142,48
807,True,38414,155,40
808,True,35974,155,44
809,True,39686,147,41
810,True,38258,152,41
811,True,39530,154,38
812,True,35309,148,38
813,True,42434,143,43
814,True,39966,143,38
815,True,38012,149,42
816,True,38065,151,35
817,True,37507,143,36
818,True,39686,149,36
819,True,37223,155,41
820,True,40615,142,35
821,True,38812,157,42
822,True,35491,155,39
823,True,39571,156,39
824,True,42673,150,37
