"","elevation_mean","slope_mean","terrain_northness_mean","terrain_tpi_5km","prcp_mm_mean_2000_2025","prcp_mm_slope_2000_2025","tmean_c_mean_2000_2025","vpd_kpa_slope_2000_2025","ssrd_wm2_slope_2000_2025","pop_log_density_2000","pop_log_change_2000_2020_per_year","ntl_viirs_slope_2014_2025","road_dist_km","mkde3k","mining_disturbance_intensity_2000_2025","mndwi_mean_2000_2025","mndwi_slope_2000_2025","pdsi_slope_2000_2025","soil_water_rootzone_mean_2000_2025","soil_water_rootzone_slope_2000_2025","hydro_hand_m","forest_frac_slope_2000_2025","cropland_frac_mean_2000_2025","built_frac_slope_2000_2025","barren_frac_slope_2000_2025","regain_sen_slope_2000_2025"
"pop_log_change_2000_2020_per_year",-0.17777586288468,-0.200574806970595,-0.0020624011495206,-0.151866425427631,-0.0226692327491154,-0.00460279587504154,0.0615199385356179,0.0361324149819889,0.0164961204378862,0.0494512917112174,1,0.146805704284477,-0.0790335361524212,0.0449979356311295,0.112609387152783,0.111186869710073,0.0329675765500931,0.0234495307980211,-0.0244549983620204,-0.0134314193513149,-0.169552583901442,-0.0970682198789326,0.243974181778781,0.192674514792933,0.0216536035567055,-0.111710000985363
"ntl_viirs_slope_2014_2025",-0.309978125982793,-0.3497314077133,-0.00359609697840622,-0.264801245736602,-0.0395271111106733,-0.00802564541932347,0.107268978748919,0.0630021314570411,0.0287633901270356,0.254509317404941,0.146805704284477,1,-0.146185212461832,0.0189812687842078,0.123604123151359,0.193870511707084,0.0574837744076718,0.04088767447953,-0.042640853714144,-0.02341963713325,-0.295639640615342,-0.169252588075331,0.425404542713594,0.335956096913448,0.0377562135959703,-0.194782667326673
"road_dist_km",0.1336796006128,0.150823400059724,0.0015508346155526,0.11419684746983,0.0170462622480203,0.00346109929826037,-0.0462602778561685,-0.0271699809276216,-0.0124043543145548,-0.171556808358283,-0.0790335361524212,-0.146185212461832,1,-0.105197550108616,-0.0745497795650852,-0.0836076174518225,-0.0247901621450555,-0.0176330119329554,0.0183890791526755,0.0100998343949061,0.127496057850755,0.0729910160752728,-0.183457813961946,-0.144882729116563,-0.0162825539323412,0.0840009890761484
"mkde3k",-0.00752198232652244,-0.00848664227357541,-8.72635055466264e-05,-0.00642571240843753,-0.000959171652032885,-0.000194751687112393,0.00260300742116968,0.00152882051870787,0.000697977354048659,0.00534825769325134,0.0449979356311295,0.0189812687842078,-0.105197550108616,1,0.28070325570676,0.00470449506096924,0.00139491112085861,0.000992187315903382,-0.00103473026365552,-0.000568304928134362,-0.00717404218338779,-0.00410711230731001,0.010322939535713,0.00815236822101019,0.000916198749459696,-0.00472662958555168
"mining_disturbance_intensity_2000_2025",-0.120503528841196,-0.135957557141923,-0.0013979772752648,-0.102941084799566,-0.0153661048134687,-0.00311995754923154,0.0417006536621026,0.0244919835585813,0.011181724519285,0.0989274404354883,0.112609387152783,0.123604123151359,-0.0745497795650852,0.28070325570676,1,0.075366868952066,0.0223467305806611,0.0158950217705588,-0.0165765675531596,-0.00910434860456446,-0.114929464285714,-0.0657966882789495,0.165375374212402,0.130602425849986,0.0146776710762131,-0.0757214680730983
"mndwi_mean_2000_2025",-0.427026377734001,-0.481790564228114,-0.00495398913004021,-0.364790632977209,-0.0582989670876999,-0.0118371119217045,0.1582121861652,0.0929225305129165,0.0424234376666581,0.253379305942066,0.111186869710073,0.193870511707084,-0.0836076174518225,0.00470449506096924,0.075366868952066,1,0.0205483477746545,0.216739317779664,-0.0870701489036925,-0.219413146676091,-0.335789656129331,-0.101929575423235,0.256192858939402,0.202324009982014,0.0227380559741476,-0.0507185378912682
"mndwi_slope_2000_2025",-0.12661589298776,-0.142853804129212,-0.00146888761504664,-0.108162619820059,-0.0172859948775137,-0.00350977497998092,0.0469108661135939,0.027552089971604,0.0125788047854984,0.0751284903211713,0.0329675765500931,0.0574837744076718,-0.0247901621450555,0.00139491112085861,0.0223467305806611,0.0205483477746545,1,-0.0492686817554726,-0.0865947967270204,0.287783879945527,-0.0451883961935839,-0.0302227330371507,0.0759627257309753,0.0599902875618016,0.00674197054816539,-0.0150383519636735
"pdsi_slope_2000_2025",-0.0900607079086934,-0.10161058318777,-0.00104480610867863,-0.076935066210014,-0.0122953674996031,-0.00249647032326232,0.0333672630750122,0.0195975455265046,0.00894718693597778,0.0534381969180612,0.0234495307980211,0.04088767447953,-0.0176330119329554,0.000992187315903382,0.0158950217705588,0.216739317779664,-0.0492686817554726,1,-0.158648234872653,0.214465612584257,-0.0796195291016997,-0.0214971491179576,0.0540315808116354,0.0426705339904226,0.0047955009907487,-0.0106966399846775
"soil_water_rootzone_mean_2000_2025",0.0939223254981018,0.105967435631188,0.00108960524184651,0.0802338833281305,0.0128225675239783,0.00260351382686791,-0.0347979825640431,-0.02043784789889,-0.00933082387654819,-0.0557295166950972,-0.0244549983620204,-0.042640853714144,0.0183890791526755,-0.00103473026365552,-0.0165765675531596,-0.0870701489036925,-0.0865947967270204,-0.158648234872653,1,0.108731119133815,0.0569849596620853,0.0224189025783035,-0.0563483436673891,-0.0445001585673682,-0.00500112219233502,0.0111552898673131
"soil_water_rootzone_slope_2000_2025",0.0515849611413131,0.0582004972756973,0.000598443913754662,0.0440668577119283,0.00704253907628864,0.00142992796310784,-0.0191120968187541,-0.0112250797037347,-0.00512476862700661,-0.0306083238239118,-0.0134314193513149,-0.02341963713325,0.0100998343949061,-0.000568304928134362,-0.00910434860456446,-0.219413146676091,0.287783879945527,0.214465612584257,0.108731119133815,1,-0.0101650935865397,0.0123131344139902,-0.0309482021771104,-0.0244408231834757,-0.00274676646459073,0.00612682012794773
"hydro_hand_m",0.651186834629571,0.73469857796356,0.00755450405077711,0.556281461701452,0.0889020487246357,0.0180508086745222,-0.241263064955011,-0.14170068095458,-0.0646929218631648,-0.386386595302622,-0.169552583901442,-0.295639640615342,0.127496057850755,-0.00717404218338779,-0.114929464285714,-0.335789656129331,-0.0451883961935839,-0.0796195291016997,0.0569849596620853,-0.0101650935865397,1,0.155435825597496,-0.390677076560758,-0.308530663442571,-0.0346740235907826,0.0773423981949609
"forest_frac_slope_2000_2025",0.173926934128927,0.196232270645912,0.0020177492211796,0.148578447845202,0.0191185726458839,0.0038818643879595,-0.0518841297842079,-0.0304730296057917,-0.0139123489734907,-0.221204880091409,-0.0970682198789326,-0.169252588075331,0.0729910160752728,-0.00410711230731001,-0.0657966882789495,-0.101929575423235,-0.0302227330371507,-0.0214971491179576,0.0224189025783035,0.0123131344139902,0.155435825597496,1,0.0146043060982318,-0.127758249762039,-0.0274077026835831,0.151369084453804
"cropland_frac_mean_2000_2025",-0.437153184598646,-0.493216087913645,-0.0050714715473927,-0.37344153718082,-0.0480531952051389,-0.00975679464411561,0.130407131470982,0.0765918286506785,0.0349677161244092,0.555982995187162,0.243974181778781,0.425404542713594,-0.183457813961946,0.010322939535713,0.165375374212402,0.256192858939402,0.0759627257309753,0.0540315808116354,-0.0563483436673891,-0.0309482021771104,-0.390677076560758,0.0146043060982318,1,0.233779022370927,0.027960228086933,-0.380455607121268
"built_frac_slope_2000_2025",-0.345234389633498,-0.389509126473871,-0.00400510952657302,-0.294919185527112,-0.0379492043088204,-0.00770526479598491,0.102986843109868,0.0604871110327316,0.0276151668531738,0.439078237909373,0.192674514792933,0.335956096913448,-0.144882729116563,0.00815236822101019,0.130602425849986,0.202324009982014,0.0599902875618016,0.0426705339904226,-0.0445001585673682,-0.0244408231834757,-0.308530663442571,-0.127758249762039,0.233779022370927,1,0.0429300202222118,-0.30045842952681
"barren_frac_slope_2000_2025",-0.0387989486585651,-0.0437747369725993,-0.000450111702540421,-0.0331443062489797,-0.0042648973388034,-0.000865951313649375,0.0115741112655938,0.00679780573990699,0.00310351307142791,0.0493455302289677,0.0216536035567055,0.0377562135959703,-0.0162825539323412,0.000916198749459696,0.0146776710762131,0.0227380559741476,0.00674197054816539,0.0047955009907487,-0.00500112219233502,-0.00274676646459073,-0.0346740235907826,-0.0274077026835831,0.027960228086933,0.0429300202222118,1,-0.033766830684566
"regain_sen_slope_2000_2025",0.0689755820753188,0.0778213860754308,0.000800194792772677,0.0589229320651016,-0.00415243900423534,-0.000843117600475555,0.0112689209705798,0.00661855877298197,0.00302167853155575,-0.254571448861417,-0.111710000985363,-0.194782667326673,0.0840009890761484,-0.00472662958555168,-0.0757214680730983,-0.0507185378912682,-0.0150383519636735,-0.0106966399846775,0.0111552898673131,0.00612682012794773,0.0773423981949609,0.151369084453804,-0.380455607121268,-0.30045842952681,-0.033766830684566,1
