contract,year,component,lower_fraction,upper_fraction
q02_q98,2015,bsi_mean,0.012564980016196024,0.009195162090854471
q02_q98,2016,kndvi_mean,0.013322535983908467,0.022256471879000025
q02_q98,2016,nbr_mean,0.01718868368119955,0.007418823959666676
q02_q98,2016,ndmi_mean,0.01460254434314673,0.007862908492463624
q02_q98,2016,bsi_mean,0.008124134688226535,0.013923356234163162
q02_q98,2017,kndvi_mean,0.013400903842637339,0.04926726052088504
q02_q98,2017,nbr_mean,0.015673571745774665,0.046028055693424934
q02_q98,2017,ndmi_mean,0.010631906167550482,0.04069904129986155
q02_q98,2017,bsi_mean,0.04628928188918785,0.010710274026279356
q02_q98,2018,kndvi_mean,0.015647449126198375,0.030720200621718347
q02_q98,2018,nbr_mean,0.018442569420861525,0.029675295838666703
q02_q98,2018,ndmi_mean,0.012564980016196024,0.03307123638358454
q02_q98,2018,bsi_mean,0.034560225699433136,0.014785402680180769
q02_q98,2019,kndvi_mean,0.016039288419842743,0.041090880593505914
q02_q98,2019,nbr_mean,0.018207465844674905,0.04712520571562916
q02_q98,2019,ndmi_mean,0.011833546668059873,0.05232360701131109
q02_q98,2019,bsi_mean,0.050442778401818135,0.013322535983908467
q02_q98,2020,kndvi_mean,0.016875212246284056,0.010631906167550482
q02_q98,2020,nbr_mean,0.018834408714505892,0.022491575455186645
q02_q98,2020,ndmi_mean,0.010867009743737102,0.0243985266842559
q02_q98,2020,bsi_mean,0.020192784932473028,0.011938037146365037
q02_q98,2021,kndvi_mean,0.018050730127217158,0.009064548992973015
q02_q98,2021,nbr_mean,0.026645071967816934,0.029466314882056373
q02_q98,2021,ndmi_mean,0.02471199811917139,0.031843473263498866
q02_q98,2021,bsi_mean,0.02818630652281811,0.02160340638959275
q02_q98,2022,kndvi_mean,0.014942138397638515,0.07557273843421018
q02_q98,2022,nbr_mean,0.01653561819179227,0.10213944254329824
q02_q98,2022,ndmi_mean,0.01010945377602466,0.10778192837177712
q02_q98,2022,bsi_mean,0.10584885452313159,0.010919254982889684
q02_q98,2023,kndvi_mean,0.016561740811368564,0.00752331443797184
q02_q98,2023,nbr_mean,0.021760142107050497,0.01624826937645307
q02_q98,2023,ndmi_mean,0.014916015778062224,0.0270369112614613
q02_q98,2023,bsi_mean,0.022178104020271153,0.013244168125179593
q02_q98,2024,kndvi_mean,0.012486612157467152,0.07857683968548367
q02_q98,2024,nbr_mean,0.01575193960450354,0.05457015229487213
q02_q98,2024,ndmi_mean,0.009064548992973015,0.06277265484182754
q02_q98,2024,bsi_mean,0.07079229905174891,0.009090671612549306
q02_q98,2025,kndvi_mean,0.014759280060604478,0.041038635354353335
q02_q98,2025,nbr_mean,0.021812387346203076,0.03651942216765497
q02_q98,2025,ndmi_mean,0.016405005093910817,0.046628875943679635
q02_q98,2025,bsi_mean,0.045949687834696065,0.01504662887594368
q01_q99,2000,kndvi_mean,0.004675948904156109,0.00023510357618662
q01_q99,2000,nbr_mean,0.004205741751782868,0.00013061309788145556
q01_q99,2000,ndmi_mean,0.006426164415767613,0.0005485750111021133
q01_q99,2000,bsi_mean,0.0,0.008385360883989447
q01_q99,2001,kndvi_mean,0.004414722708393198,0.0
q01_q99,2001,nbr_mean,0.0041273738930539955,0.00013061309788145556
q01_q99,2001,ndmi_mean,0.0073927013400903845,0.00070531072855986
q01_q99,2001,bsi_mean,2.6122619576291112e-05,0.0075755596771244224
q01_q99,2002,kndvi_mean,0.0071314751443274736,0.00015673571745774666
q01_q99,2002,nbr_mean,0.00540738225229226,7.836785872887333e-05
q01_q99,2002,ndmi_mean,0.008437606123142028,0.0008098012068650244
q01_q99,2002,bsi_mean,5.2245239152582224e-05,0.010083331156448369
q01_q99,2003,kndvi_mean,0.02100258613933805,0.0
q01_q99,2003,nbr_mean,0.01878216347535331,0.00036571667406807553
q01_q99,2003,ndmi_mean,0.04051618296282751,0.0005224523915258223
q01_q99,2003,bsi_mean,2.6122619576291112e-05,0.03620595073273948
q01_q99,2004,kndvi_mean,0.01953971944306575,0.0
q01_q99,2004,nbr_mean,0.018938899192811054,7.836785872887333e-05
q01_q99,2004,ndmi_mean,0.03403777330790732,0.0004440845327969489
q01_q99,2004,bsi_mean,0.0,0.03448185784070427
q01_q99,2005,kndvi_mean,0.006765758470259398,0.0
q01_q99,2005,nbr_mean,0.00329145006661268,0.0009926595438990622
q01_q99,2005,ndmi_mean,0.00399676079517254,0.0010187821634753532
q01_q99,2005,bsi_mean,0.00015673571745774666,0.0062171834591572845
q01_q99,2006,kndvi_mean,0.008542096601447193,0.0027689976750868575
q01_q99,2006,nbr_mean,0.004780439382461274,0.0018024607507640866
q01_q99,2006,ndmi_mean,0.005355137013139678,0.0014628666962723021
q01_q99,2006,bsi_mean,0.0004179619132206578,0.007105352524751182
q01_q99,2007,kndvi_mean,0.00984822758026175,0.0
q01_q99,2007,nbr_mean,0.006922494187717144,0.00047020715237324
q01_q99,2007,ndmi_mean,0.00846372874271832,0.0008881690655938978
q01_q99,2007,bsi_mean,7.836785872887333e-05,0.009351897808312217
q01_q99,2008,kndvi_mean,0.009064548992973015,0.0002612261957629111
q01_q99,2008,nbr_mean,0.007340456100937802,0.0014889893158485934
q01_q99,2008,ndmi_mean,0.008411483503565737,0.0014889893158485934
q01_q99,2008,bsi_mean,0.00023510357618662,0.009247407330007054
q01_q99,2009,kndvi_mean,0.014733157441028186,0.0
q01_q99,2009,nbr_mean,0.017972362268488282,0.0015934797941537578
q01_q99,2009,ndmi_mean,0.026018129097985947,0.0011755178809331
q01_q99,2009,bsi_mean,0.00013061309788145556,0.022178104020271153
q01_q99,2010,kndvi_mean,0.01084088712416081,7.836785872887333e-05
q01_q99,2010,nbr_mean,0.00893393589509156,0.00094041430474648
q01_q99,2010,ndmi_mean,0.009508633525769965,0.0008359238264413156
q01_q99,2010,bsi_mean,7.836785872887333e-05,0.009587001384498837
q01_q99,2011,kndvi_mean,0.010501293069669026,5.2245239152582224e-05
q01_q99,2011,nbr_mean,0.007497191818395549,0.0020114417073744157
q01_q99,2011,ndmi_mean,0.007314333481361511,0.0016979702724589222
q01_q99,2011,bsi_mean,0.0002089809566103289,0.006530654894072778
q01_q99,2012,kndvi_mean,0.007862908492463624,0.028029570805360362
q01_q99,2012,nbr_mean,0.007000862046446017,0.00848985136229461
q01_q99,2012,ndmi_mean,0.004780439382461274,0.0034220631644941357
q01_q99,2012,bsi_mean,0.0050416655782241845,0.0049371750999190195
q01_q99,2013,kndvi_mean,0.007941276351192498,0.03009325775188736
q01_q99,2013,nbr_mean,0.008098012068650243,0.013453149081789921
q01_q99,2013,ndmi_mean,0.0051200334369530575,0.006687390611530525
q01_q99,2013,bsi_mean,0.010736396645855647,0.0056686084480551705
q01_q99,2014,kndvi_mean,0.008855568036362687,0.009743737101956584
q01_q99,2014,nbr_mean,0.008698832318904939,0.016509495572215982
q01_q99,2014,ndmi_mean,0.004963297719495311,0.012747838353230062
q01_q99,2014,bsi_mean,0.015255609832554008,0.005381259632715968
q01_q99,2015,kndvi_mean,0.007340456100937802,0.014236827669078656
q01_q99,2015,nbr_mean,0.00799352159034508,0.005590240589326298
q01_q99,2015,ndmi_mean,0.005067788197800476,0.005276769154410804
q01_q99,2015,bsi_mean,0.005459627491444842,0.004728194143308691
q01_q99,2016,kndvi_mean,0.008515973981870902,0.007941276351192498
q01_q99,2016,nbr_mean,0.010919254982889684,0.002690629816357984
q01_q99,2016,ndmi_mean,0.007967398970768789,0.004388600088816906
q01_q99,2016,bsi_mean,0.003918392936443666,0.007314333481361511
q01_q99,2017,kndvi_mean,0.008881690655938978,0.023849951673153784
q01_q99,2017,nbr_mean,0.010370679971787571,0.021995245683237116
q01_q99,2017,ndmi_mean,0.006452287035343904,0.017606645594420208
q01_q99,2017,bsi_mean,0.021472793291711294,0.006138815600428411
q01_q99,2018,kndvi_mean,0.010396802591363863,0.012800083592382645
q01_q99,2018,nbr_mean,0.011624565711449545,0.012591102635772315
q01_q99,2018,ndmi_mean,0.007340456100937802,0.01316580026645072
q01_q99,2018,bsi_mean,0.013792743136281706,0.008359238264413156
q01_q99,2019,kndvi_mean,0.01107599070034743,0.019356861106031714
q01_q99,2019,nbr_mean,0.012042527624670202,0.02426791358637444
q01_q99,2019,ndmi_mean,0.006922494187717144,0.02565241242391787
q01_q99,2019,bsi_mean,0.0246858754995951,0.007810663253311042
q01_q99,2020,kndvi_mean,0.011624565711449545,0.004257986990935451
q01_q99,2020,nbr_mean,0.011546197852720671,0.010266189493482406
q01_q99,2020,ndmi_mean,0.0058775894046655,0.010631906167550482
q01_q99,2020,bsi_mean,0.008515973981870902,0.00634779655703874
q01_q99,2021,kndvi_mean,0.012225385961704239,0.00211593218567958
q01_q99,2021,nbr_mean,0.014889893158485932,0.014053969332044617
q01_q99,2021,ndmi_mean,0.011572320472296962,0.01695358010501293
q01_q99,2021,bsi_mean,0.013949478853739454,0.010292312113058697
q01_q99,2022,kndvi_mean,0.010057208536872078,0.03957576865808103
q01_q99,2022,nbr_mean,0.01128497165695776,0.06684778349572895
q01_q99,2022,ndmi_mean,0.005799221545936627,0.06324286199420077
q01_q99,2022,bsi_mean,0.06559389775606699,0.0060343251221232465
q01_q99,2023,kndvi_mean,0.010971500222042267,0.001149395261356809
q01_q99,2023,nbr_mean,0.01460254434314673,0.006269428698309866
q01_q99,2023,ndmi_mean,0.008751077558057522,0.01295681930984039
q01_q99,2023,bsi_mean,0.0094041430474648,0.007235965622632638
q01_q99,2024,kndvi_mean,0.007810663253311042,0.04359865207282986
q01_q99,2024,nbr_mean,0.009978840678143204,0.028134061283665527
q01_q99,2024,ndmi_mean,0.00517227867610564,0.03223531255714323
q01_q99,2024,bsi_mean,0.037694940048588074,0.005198401295681931
q01_q99,2025,kndvi_mean,0.0094041430474648,0.01972257778009979
q01_q99,2025,nbr_mean,0.012773960972806354,0.01878216347535331
q01_q99,2025,ndmi_mean,0.008359238264413156,0.023458112379509417
q01_q99,2025,bsi_mean,0.023092395705441342,0.007627804916277004
